,0
0,1
1,4
2,7
3,3
4,2
5,1863
6,1197
7,1489
8,907
9,467
10,572
11,164
12,385
13,1817
14,85
15,1114
16,1880
17,1339
18,1828
19,1917
20,1063
21,366
22,454
23,1844
24,739
25,1268
26,972
27,1022
28,91
29,1486
30,311
31,126
32,1076
33,1927
34,649
35,1367
36,777
37,1383
38,1263
39,1540
40,1246
41,1584
42,403
43,1036
44,191
45,167
46,634
47,1233
48,1065
49,1130
50,1631
51,1159
52,1375
53,784
54,920
55,1546
56,1583
57,763
58,1548
59,420
60,227
61,43
62,743
63,159
64,321
65,514
66,1713
67,1434
68,1337
69,401
70,573
71,1292
72,172
73,1350
74,1430
75,1308
76,1078
77,587
78,1242
79,1484
80,1418
81,291
82,260
83,1047
84,1000
85,755
86,1836
87,1318
88,1027
89,536
90,701
91,661
92,1069
93,971
94,1925
95,769
96,1587
97,1098
98,824
99,590
100,1841
101,613
102,834
103,1265
104,875
